sequenceID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,1315316,1.0990910922478645,1445651,610,7.68551681894038,73.55257539463861,1561,28.857262437315445,0.9998796612916924,1801,8958.144945196664,1801,94.64747722573836,10.0,16.0,10.0,10.0,6.0,0,1
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr1:17175658-29878082,1020524,1.2598109008812148,1285666,463,4.826681428284248,26.909971742679392,1805,59.610733309554696,0.9999411620540176,1885,27187.853057323115,1885,164.88739508319946,16.0,23.0,13.0,13.0,7.0,0,1
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr2:16329724-21153113,317443,1.1199746725386055,355527,31,6.57390503442958,50.611739191691726,1324,33.96994106028484,0.9999262010197048,1457,11878.299200730831,1457,108.98761030837784,11.0,17.0,10.0,10.0,6.0,0,1
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr3:60000-66170270,4437373,1.1202556377964257,4970991,102,7.459551192903588,72.69995301351072,2219,33.81610132842112,0.9999268629613736,2502,12382.131984559044,2502,111.27502857586262,12.0,18.0,10.0,10.0,6.0,0,1
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr4:52660117-59739333,432647,1.0887839018504737,471058,38,7.267273635833956,61.55351907939736,1195,26.88371813510784,0.9998984525093644,1256,7712.281599030292,1256,87.81959689630949,11.0,16.0,10.0,10.0,5.0,0,1
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr4:75452279-190000000,6951009,1.0681017774688215,7424384,312,8.249004433050162,86.59128277025106,1628,23.27563854398692,0.9998628699686466,1812,5353.227475596911,1812,73.16575343421887,10.0,15.0,10.0,10.0,5.0,0,1
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Broad_/problems/chr5:100000-17500000,1032938,1.0807909872528527,1116389,454,8.182672984505523,84.58318296644178,1446,25.3490616087316,0.9998788108211274,1796,7230.587703904223,1796,85.03286249388658,10.0,15.0,9.0,9.0,5.0,0,1
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Stanford_/problems/chr10:18024675-38818835,942513,1.5082789396845877,1421571,2680,7.914811114139027,77.74591606133176,3850,63.309065233052486,0.9998532713729226,5326,78527.93542361296,5326,280.2283629892109,10.0,14.0,7.0,7.0,4.0,0,1
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Stanford_/problems/chr1:17175658-29878082,768615,2.250643365850739,1729876,1449,5.146013531476706,30.33139042479133,4796,146.28034711786785,0.9999280727019516,5357,237240.20689172525,5357,487.0731022051261,29.0,34.0,11.0,11.0,5.0,0,1
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Stanford_/problems/chr2:16329724-21153113,227521,1.6793952180028129,382096,63,6.865277321112342,53.19323642396776,3308,83.11147542424655,0.9999416067628504,4235,125864.1961122218,4235,354.7734433581829,11.0,15.0,8.0,8.0,4.0,0,1
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Stanford_/problems/chr3:60000-66170270,3205064,1.664628433200845,5335239,1882,8.128861599086163,93.84353262959648,5501,81.79262410984617,0.9999322950036996,9793,123758.44578391968,9793,351.79318609649005,12.0,16.0,8.0,8.0,4.0,0,1
