sequenceID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00RMQ_WTSI/problems/chr5:49600000-91636128,13,4.008325197940826,450532,117.87482542914378,10.857017335766937,401098,5.2923799171274855,1.1232494882783963,21.28914491055047,0.9940323391292772,128,128,128,0.0,4.0,4.0,1.0,1.0,0,1
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00S2P_WTSI/problems/chr5:49600000-91636128,48,4.361558526301742,927720,232.29173114401075,15.24111974705306,716962,6.932870919239792,1.2939615962374522,25.23448742121065,0.9955536273686268,195,194,194,1.0,4.0,5.0,2.0,2.0,0,1
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00S4L_WTSI/problems/chr5:49600000-91636128,18,3.941738560210596,615130,291.8624914170759,17.08398347625857,522740,8.122584841412557,1.176744034786002,20.372187188297545,0.9972251544784146,214,216,216,1.0,6.0,7.0,1.0,1.0,0,1
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00S6H_WTSI/problems/chr5:49600000-91636128,7,8.791104703196911,664100,14.500852385648669,3.8079984750060847,586277,1.7283587792118742,1.1327429401851687,137.17299358393646,0.9506994828062868,117,122,122,0.0,2.0,2.0,1.0,1.0,0,1
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00S7F_WTSI/problems/chr5:49600000-91636128,10,4.090514400197869,514436,122.1286853447884,11.051184793712771,441696,5.207823933202927,1.1646860390088185,21.40507536646508,0.993652718605776,130,129,129,0.0,4.0,4.0,1.0,1.0,0,1
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00SE1_WTSI/problems/chr5:49600000-91636128,13,5.849207304231948,939325,77.18309056008236,8.78539074601024,745159,3.57949645646097,1.260571583476256,46.09272015192575,0.9877387143827808,161,169,169,0.0,3.0,3.0,1.0,1.0,0,1
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00SHW_WTSI/problems/chr5:49600000-91636128,11,5.583367565257024,913096,72.89487221803329,8.537849390685764,543444,3.7374706501497856,1.680205651742685,42.774607534255054,0.9745430351951074,158,171,171,0.0,3.0,3.0,1.0,1.0,0,1
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00SJS_WTSI/problems/chr5:49600000-91636128,13,6.262871491985115,1180009,120.8886535728698,10.994937633878138,1000729,4.172661130036204,1.1791505783789402,53.35640607778099,0.9933293183841092,206,211,211,1.0,2.0,3.0,1.0,1.0,0,1
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00SMM_WTSI/problems/chr5:49600000-91636128,11,4.773223020130753,627733,52.48185153302339,7.244435901643646,574723,3.2707321614064515,1.092237638371247,30.31482910713141,0.9876301943768804,103,102,102,0.0,2.0,2.0,1.0,1.0,0,1
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00SPG_WTSI/problems/chr5:49600000-91636128,10,5.926720970638762,685921,16.219323006726945,4.0273220639436005,622084,1.9208450948746472,1.1026197468826506,49.36510516295029,0.9590414718343352,88,88,88,0.0,2.0,2.0,1.0,1.0,0,1
